aaa,9975754,10162,89,171
aab,9955049,8129,61,134
aac,9494817,9675,6,15
aad,9996858,8944,53,92
aae,9816194,8880,142,250
aaf,9992085,11129,168,388
aag,9805172,9229,117,164
aba,9990037,8588,224,358
abb,9688355,9482,50,131
abc,9526976,9585,45,80
abd,9957292,9380,241,368
abe,9872222,8256,38,81
abf,9889828,10492,72,110
abg,9947987,7877,147,346
aca,9760592,8946,34,86
acb,9923992,7053,22,46
acc,9837375,9918,115,243
acd,9759377,11001,11,38
ace,9976517,10395,285,472
acf,9991392,11349,171,279
acg,9757057,8524,13,39
ada,9947864,8022,80,275
adb,9048071,10731,83,154
adc,9911872,9295,302,540
add,9875225,8541,79,182
ade,9773364,8173,6,13
adf,9963692,10803,77,132
adg,9591950,9029,225,347
aea,9951443,9946,85,134
aeb,9914651,9681,196,263
aec,9931258,9849,27,58
aed,9923225,8886,19,48
aee,9930855,8618,100,231
aef,9919088,8894,186,308
aeg,9942477,8087,89,185
afa,9857582,7659,137,209
afb,9764506,8787,134,224
afc,9748070,9556,18,31
afd,9926390,8648,304,433
afe,9804281,9057,97,177
aff,9226647,9957,194,376
afg,9796944,9995,61,114
aga,9824688,8795,132,241
agb,9618902,8924,180,231
agc,9845698,7440,76,122
agd,9907503,10785,75,186
age,9931993,8224,71,219
agf,9822876,7835,162,319
agg,9668916,7972,14,26
baa,9562989,7912,374,892
bab,9958067,9582,320,624
bac,9869797,8427,199,501
bad,9939333,8212,6,14
bae,9786847,8274,283,462
baf,9912495,10417,88,255
bag,9862312,7501,108,249
bba,9930045,8223,13,41
bbb,9911786,9709,557,1053
bbc,9642890,8973,174,323
bbd,9960430,7955,13,24
bbe,9806953,8425,62,147
bbf,9909726,7619,77,155
bbg,9883734,10402,123,327
bca,9608459,7850,61,117
bcb,9896660,9016,36,56
bcc,9977811,7941,18,39
bcd,9995908,8231,23,79
bce,9933160,10418,36,139
bcf,9944672,9121,132,206
bcg,9873845,9212,77,238
bda,9959841,12076,164,279
bdb,9893372,7635,141,295
bdc,9711001,9555,182,270
bdd,9467776,10921,55,112
bde,9699707,9479,220,449
bdf,9997205,8740,125,175
bdg,9885427,9940,16,38
bea,9828793,7023,253,353
beb,9895738,8424,34,97
bec,9937362,9810,373,826
bed,9906221,6512,59,211
bee,9280891,7604,151,312
bef,9970682,9263,5,5
beg,9598821,8990,423,805
bfa,9933368,7101,115,207
bfb,9999157,8134,201,263
bfc,9436831,7785,170,267
bfd,9932250,9000,51,179
bfe,9791198,10662,67,198
bff,9986638,10071,222,349
bfg,9924014,8841,11,38
bga,9805730,7377,94,159
bgb,9573827,10702,31,94
bgc,9983793,7865,412,938
bgd,9922467,7492,25,68
bge,9949858,8348,250,433
bgf,9978433,6447,1044,2525
bgg,9948204,9383,18,53
caa,9632191,9797,225,333
cab,9626511,7064,161,267
cac,9960478,8840,88,147
cad,9991064,6788,122,206
cae,9899821,8199,280,406
caf,9939353,9556,91,174
cag,9974697,10279,13,52
cba,9850792,9541,170,328
cbb,9910615,10082,53,120
cbc,9164107,9212,44,90
cbd,9924870,8628,106,246
cbe,9927661,8226,88,178
cbf,9966982,10038,97,237
cbg,9884253,8920,37,166
cca,9905690,8572,75,131
ccb,9852385,8682,16,47
ccc,9848071,8183,119,222
ccd,9949025,8789,23,73
cce,9635147,10020,88,156
ccf,9740111,9581,48,113
ccg,9746263,9339,157,234
cda,9887017,7823,141,308
cdb,9989268,8740,214,365
cdc,9815340,9315,141,247
cdd,9872758,8091,36,110
cde,9975481,8257,20,55
cdf,9972380,8480,16,65
cdg,9895238,8934,170,322
cea,9987774,9024,25,68
ceb,9859839,8474,6,19
cec,9556819,9785,145,243
ced,9867199,7781,32,62
cee,9799246,9269,67,167
cef,9935251,8822,40,139
ceg,9852203,9131,43,116
cfa,9824470,8549,19,47
cfb,9992465,8780,182,363
cfc,9789472,8969,12,32
cfd,9624451,7831,349,532
cfe,9992859,9173,40,142
cff,9924182,7972,166,259
cfg,9920074,9718,70,222
cga,9846664,9481,167,281
cgb,9694059,10930,126,295
cgc,9780585,8897,126,177
cgd,9737006,8080,185,319
cge,9953933,8947,170,339
cgf,9751090,8451,119,220
cgg,9855349,8538,81,149
daa,9788002,7951,209,309
dab,9841490,9398,37,134
dac,9910678,8411,237,467
dad,9808292,8134,5,7
dae,9938198,9558,30,80
daf,9873102,9184,203,308
dag,9615774,8625,19,70
dba,9803703,9183,29,54
dbb,9870547,9394,150,247
dbc,9912514,9603,187,341
dbd,9904873,8316,61,138
dbe,9814689,8991,131,170
dbf,9745995,9694,6,16
dbg,9601615,8827,153,248
dca,9945103,9895,210,287
dcb,9987232,8804,45,117
dcc,9706736,8715,196,286
dcd,9838937,8493,85,118
dce,9965419,9671,129,263
dcf,9920899,9476,128,293
dcg,9859382,8127,5,10
dda,9994027,8066,17,36
ddb,9966089,9209,236,394
ddc,9716721,8484,123,253
ddd,9869805,8401,159,299
dde,9947828,9230,75,245
ddf,9970594,6685,89,210
ddg,9908296,7021,135,257
dea,9830200,7916,99,223
deb,9968162,8549,68,293
dec,9906240,8433,46,129
ded,9945337,10198,122,207
dee,9996094,9333,239,380
def,9872279,8919,145,363
deg,9996290,7689,82,239
dfa,9717825,9086,52,161
dfb,9890575,10526,42,89
dfc,9952232,9888,161,226
dfd,9794611,8281,9,28
dfe,9930116,9255,114,256
dff,9993524,8304,11,33
dfg,9660493,9609,180,374
dga,9913315,8137,6,17
dgb,9547618,10498,110,277
dgc,9948931,10893,112,209
dgd,9820807,8925,33,111
dge,9921994,7558,15,50
dgf,9913824,9466,44,197
dgg,9807311,9315,337,665
eaa,9588504,9152,7,22
eab,9946716,8499,79,155
eac,9947092,10408,121,315
ead,9392617,8575,130,320
eae,9802521,8826,64,176
eaf,9667622,9914,82,166
eag,9467750,8353,67,187
eba,9936239,11523,113,326
ebb,9706341,9244,163,287
ebc,9971347,7306,6,16
ebd,9948643,9643,67,241
ebe,9793728,8744,7,22
ebf,9916392,10531,6,17
ebg,9497638,9118,93,179
eca,9999421,8258,76,213
ecb,9965991,7923,570,1031
ecc,9761314,8156,192,395
ecd,9970764,8846,37,66
ece,9944130,8847,8,41
ecf,9428828,10435,224,308
ecg,9872427,7654,132,187
eda,9699443,8661,9,28
edb,9990457,11644,105,189
edc,9882970,9004,292,565
edd,9911462,7367,6,17
ede,9682921,7994,44,122
edf,9665509,9041,11,38
edg,9758770,7838,229,319
eea,9989203,7373,266,410
eeb,9877716,9545,122,178
eec,9986555,8261,136,256
eed,9935030,7805,456,1084
eee,9952848,10473,169,262
eef,9916826,8113,220,385
eeg,9879166,7656,180,386
efa,9891532,10555,49,103
efb,9999101,8981,49,131
efc,9782730,9568,113,177
efd,9999267,9444,31,65
efe,9853312,8550,61,131
eff,9818319,9431,39,155
efg,9998914,8185,101,213
ega,9386066,9150,93,194
egb,9810945,8980,48,76
egc,9804881,9140,31,63
egd,9902392,9576,11,34
ege,9944703,9376,137,234
egf,9949044,9042,5,5
egg,9873582,8208,261,392
faa,9572890,11296,141,279
